Date,Open,High,Low,Close,Adj Close,Volume
2023-09-22,299.299988,305.380005,298.269989,299.079987,298.466675,25369592
2023-09-25,295.640015,300.950012,293.700012,300.829987,300.213074,18987014
2023-09-26,297.660004,300.299896,296.010101,298.959991,298.346924,19417161
2023-09-27,300.450012,301.299713,286.790009,297.739990,297.129395,36429835
2023-09-28,298.934998,306.329895,296.700012,303.959991,303.336639,22167075
2023-09-29,307.380005,310.640015,299.359985,300.209991,299.594360,25373695
2023-10-02,302.739990,307.179993,301.630005,306.820007,306.190796,16265571
2023-10-03,304.260010,306.769989,299.640015,300.940002,300.322845,17362250
2023-10-04,298.725006,306.899994,298.500000,305.579987,304.953339,16880484
2023-10-05,304.625000,306.208008,299.500000,304.790009,304.164978,19129957
2023-10-06,301.440002,316.309998,300.914795,315.429993,314.783142,21803856
2023-10-09,312.500000,320.329987,311.820007,318.359985,317.707123,22503662
2023-10-10,319.119995,324.660004,318.160004,321.839996,321.179993,19037973
2023-10-11,323.005005,328.834991,322.950012,327.820007,327.147766,22036297
2023-10-12,328.000000,330.540009,322.690002,324.160004,323.495239,20530518
2023-10-13,323.529999,325.050201,312.369995,314.690002,314.044678,21360790
2023-10-16,318.640015,321.820007,315.519989,321.149994,320.491394,16536114
2023-10-17,318.179993,324.399994,317.299988,324.000000,323.335571,16387799
2023-10-18,321.390015,325.940002,315.559998,316.970001,316.319977,16851003
2023-10-19,319.875000,321.890015,311.750397,312.809998,312.168518,18709160
2023-10-20,314.140015,315.299988,306.470001,308.649994,308.017029,22312275
2023-10-23,309.500000,317.359985,307.260010,314.010010,313.366058,17796785
2023-10-24,316.779999,318.350006,310.630005,312.549988,311.909027,19525488
2023-10-25,310.000000,310.880005,298.839996,299.529999,298.915741,42192474
2023-10-26,295.000000,295.000000,279.403015,288.350006,287.758667,66684141
2023-10-27,294.480011,299.309998,292.970001,296.730011,296.121490,29596256
2023-10-30,299.089996,309.396698,299.049988,302.660004,302.039307,28435053
2023-10-31,303.309998,303.679993,296.859985,301.269989,300.652191,19434168
2023-11-01,301.850006,312.739990,301.850006,311.850006,311.210480,20434580
2023-11-02,317.299988,318.820007,308.329987,310.869995,310.232483,21631820
2023-11-03,312.549988,315.549988,311.016693,314.600006,313.954865,16764315
2023-11-06,315.980011,318.329987,314.450012,315.799988,315.152374,12887699
2023-11-07,317.059998,321.000000,315.119995,318.820007,318.166199,14055614
2023-11-08,318.140015,321.329987,314.880005,319.779999,319.124237,13609704
2023-11-09,319.417999,324.179901,318.799988,320.549988,319.892639,16103071
2023-11-10,319.940002,329.100006,319.459991,328.769989,328.095795,19116921
2023-11-13,326.200012,332.329987,325.700012,329.190002,328.514923,16908948
2023-11-14,334.540009,338.100006,333.329987,336.309998,335.620331,17179403
2023-11-15,337.929993,338.399994,330.019989,332.709991,332.027710,14531180
2023-11-16,329.369995,334.579987,326.380005,334.190002,333.504669,18932572
2023-11-17,330.260010,335.500000,329.350006,335.040009,334.352936,14519213
2023-11-20,334.890015,341.869995,334.190002,339.970001,339.272827,16976129
2023-11-21,338.329987,339.901489,335.899994,336.980011,336.288971,12027863
2023-11-22,339.209991,342.920013,338.579987,341.489990,340.789703,10715177
2023-11-24,340.130005,341.855591,336.769989,338.230011,337.536407,5467488
2023-11-27,336.179993,339.899994,334.200012,334.700012,334.013641,15684454
2023-11-28,333.399994,339.375000,333.399994,338.989990,338.294830,12637245
2023-11-29,339.690002,339.899994,330.779999,332.200012,331.518768,16024497
2023-11-30,331.890015,333.500000,322.403687,327.149994,326.479095,23146387
2023-12-01,325.480011,326.859985,320.760010,324.820007,324.153900,15276375
2023-12-04,317.290009,320.859985,313.660004,320.019989,319.363739,19037080
2023-12-05,318.980011,321.880005,315.390015,318.290009,317.637299,16952128
2023-12-06,321.929993,322.250000,317.040009,317.450012,316.799011,11294337
2023-12-07,317.769989,328.239990,317.769989,326.589996,325.920227,15905079
2023-12-08,323.089996,333.170013,323.000000,332.750000,332.067596,14087351
2023-12-11,329.399994,329.890015,319.994995,325.279999,324.612946,25802462
2023-12-12,324.600006,334.470001,324.559998,334.220001,333.534607,18485461
2023-12-13,333.929993,338.369995,332.640015,334.739990,334.053528,16353321
2023-12-14,333.850006,334.700012,328.637085,333.170013,332.486786,19607335
2023-12-15,331.989990,338.660004,331.220001,334.920013,334.233185,31776852
2023-12-18,337.480011,347.559998,337.019989,344.619995,343.913269,18993852
2023-12-19,345.579987,353.600006,345.119995,350.359985,349.641510,17729362
2023-12-20,348.649994,354.959991,347.790009,349.279999,348.563721,16369850
2023-12-21,352.980011,356.404999,349.209991,354.089996,353.363861,15289556
2023-12-22,355.579987,357.199890,351.220001,353.390015,352.665314,11772779
2023-12-26,354.989990,356.980011,353.450012,354.829987,354.102356,9898614
2023-12-27,356.070007,359.000000,355.309998,357.829987,357.096161,13207928
2023-12-28,359.700012,361.899994,357.809998,358.320007,357.585175,11798807
2023-12-29,358.989990,360.000000,351.820007,353.959991,353.234131,14987092
2024-01-02,351.320007,353.160004,340.010010,346.290009,345.579865,19042152
2024-01-03,344.980011,347.950012,343.174988,344.470001,343.763580,15451133
2024-01-04,344.500000,348.149902,343.398712,347.119995,346.408142,12099895
2024-01-05,346.989990,353.500000,346.260101,351.950012,351.228271,13750912
2024-01-08,354.700012,358.980011,352.049988,358.660004,357.924500,13890222
2024-01-09,356.399994,360.640015,355.359985,357.429993,356.696991,13463871
2024-01-10,360.170013,372.940002,359.079987,370.470001,369.710266,22117206
2024-01-11,372.130005,372.779999,362.929993,369.670013,368.911926,17205385
2024-01-12,370.154999,377.059998,369.540009,374.489990,373.722015,19310046
2024-01-16,373.649994,375.609985,367.230011,367.459991,366.706421,15306885
2024-01-17,366.299988,368.540009,358.609985,368.369995,367.614563,12724779
2024-01-18,371.489990,376.850006,370.950012,376.130005,375.358673,16354332
2024-01-19,379.000000,384.359985,377.970001,383.450012,382.663666,21670806
2024-01-22,387.950012,390.352509,381.160095,381.779999,380.997101,17680454
2024-01-23,384.614990,388.380005,382.075012,385.200012,384.410095,15506096
2024-01-24,390.000000,396.149994,387.809998,390.700012,389.898804,15604285
2024-01-25,390.170013,395.489990,385.660004,393.179993,392.373688,15091080
2024-01-26,394.350006,396.790009,391.590790,394.140015,393.331726,13159290
