Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,286.625000,292.230011,283.570007,290.380005,290.380005,131569593
2023-07-18,290.149994,295.260010,286.010010,293.339996,293.339996,112434713
2023-07-19,296.040009,299.290009,289.520111,291.260010,291.260010,142355353
2023-07-20,279.559998,280.929993,261.200012,262.899994,262.899994,175158273
2023-07-21,268.000000,268.000000,255.800003,260.019989,260.019989,161796073
2023-07-24,255.850006,269.850006,254.119995,269.059998,269.059998,137005037
2023-07-25,272.380005,272.899994,265.000000,265.279999,265.279999,112757327
2023-07-26,263.250000,268.040009,261.750000,264.350006,264.350006,95856177
2023-07-27,268.309998,269.130005,255.300003,255.710007,255.710007,103697263
2023-07-28,259.859985,267.250000,258.231201,266.440002,266.440002,111446026
2023-07-31,267.480011,269.079987,263.779999,267.429993,267.429993,84582172
2023-08-01,266.260010,266.470001,260.250000,261.070007,261.070007,83645720
2023-08-02,255.570007,259.519989,250.490005,254.110001,254.110001,101752865
2023-08-03,252.039993,260.489990,252.000000,259.320007,259.320007,97829545
2023-08-04,260.970001,264.769989,253.110001,253.860001,253.860001,99539907
2023-08-07,251.449997,253.651093,242.759995,251.449997,251.449997,111097943
2023-08-08,247.449997,250.919998,245.009995,249.699997,249.699997,96642183
2023-08-09,250.869995,251.100006,241.899994,242.190002,242.190002,101596324
2023-08-10,245.399994,251.800003,243.000000,245.339996,245.339996,109498608
2023-08-11,241.770004,243.789993,238.020004,242.649994,242.649994,99038642
2023-08-14,235.699997,240.660004,233.750000,239.759995,239.759995,98595331
2023-08-15,238.729996,240.500000,232.610001,232.960007,232.960007,88197599
2023-08-16,228.020004,233.970001,225.380005,225.600006,225.600006,112484520
2023-08-17,226.059998,226.740005,218.830002,219.220001,219.220001,120718417
2023-08-18,214.119995,217.580002,212.360001,215.490005,215.490005,136276584
2023-08-21,221.551193,232.134293,220.580002,231.279999,231.279999,135702671
2023-08-22,240.250000,240.820007,229.550003,233.190002,233.190002,130597886
2023-08-23,229.339996,238.979996,229.289993,236.860001,236.860001,101077635
2023-08-24,238.660004,238.919998,228.180099,230.039993,230.039993,99777432
2023-08-25,231.309998,239.000000,230.350006,238.589996,238.589996,106612231
2023-08-28,242.580002,244.380005,235.350006,238.820007,238.820007,107673727
2023-08-29,238.580002,257.480011,237.770004,257.179993,257.179993,134047603
2023-08-30,254.199997,260.510010,250.589996,256.899994,256.899994,121988437
2023-08-31,255.979996,261.179993,255.050003,258.079987,258.079987,108861698
2023-09-01,257.260010,259.079407,242.009995,245.009995,245.009995,132541640
2023-09-05,245.000000,258.000000,244.860001,256.489990,256.489990,129469565
2023-09-06,255.134995,255.389999,245.059998,251.919998,251.919998,116959759
2023-09-07,245.070007,252.809998,243.264999,251.490005,251.490005,115312886
2023-09-08,251.220001,256.519989,246.669998,248.500000,248.500000,118559635
2023-09-11,264.269989,274.850006,260.609985,273.579987,273.579987,174667852
2023-09-12,270.760010,278.390015,266.600006,267.480011,267.480011,135999866
2023-09-13,270.070007,274.980011,268.100006,271.299988,271.299988,111673737
2023-09-14,271.320007,276.709412,270.420013,276.040009,276.040009,107709842
2023-09-15,277.549988,278.980011,271.000000,274.390015,274.390015,133692313
2023-09-18,271.160004,271.440002,263.760101,265.279999,265.279999,101543305
2023-09-19,264.350006,267.850006,261.200012,266.500000,266.500000,103704040
2023-09-20,267.040009,273.929993,262.460602,262.589996,262.589996,122514643
2023-09-21,257.850006,260.859985,254.210007,255.699997,255.699997,119951516
2023-09-22,257.399994,257.788788,244.479996,244.880005,244.880005,127524083
2023-09-25,243.380005,247.100006,238.309998,246.990005,246.990005,104636557
2023-09-26,242.979996,249.550003,241.660095,244.119995,244.119995,101993631
2023-09-27,244.261993,245.330002,234.580002,240.500000,240.500000,136597184
2023-09-28,240.020004,247.550003,238.649994,246.380005,246.380005,117058870
2023-09-29,250.000000,254.770004,246.350006,250.220001,250.220001,128522729
2023-10-02,244.809998,254.279907,242.619995,251.600006,251.600006,123810402
2023-10-03,248.610001,250.020004,244.449997,246.529999,246.529999,101985305
2023-10-04,248.139999,261.859985,247.600006,261.160004,261.160004,129721567
2023-10-05,260.000000,263.600006,256.250000,260.049988,260.049988,119159214
2023-10-06,253.979996,261.649994,250.649994,260.529999,260.529999,118121812
2023-10-09,255.309998,261.359985,252.050003,259.670013,259.670013,101377947
2023-10-10,257.750000,268.940002,257.649994,263.619995,263.619995,122656030
2023-10-11,266.200012,268.600006,260.899994,262.989990,262.989990,103706266
2023-10-12,262.920013,265.410004,256.630707,258.869995,258.869995,111508114
2023-10-13,258.899994,259.600006,250.220001,251.119995,251.119995,102296786
2023-10-16,250.050003,255.399902,248.479996,253.919998,253.919998,88917176
2023-10-17,250.100006,257.183014,247.080002,254.850006,254.850006,93562909
2023-10-18,252.699997,254.630005,242.080002,242.679993,242.679993,125147846
2023-10-19,225.949997,230.610001,216.779999,220.110001,220.110001,170772713
2023-10-20,217.009995,218.860596,210.419998,211.990005,211.990005,138010095
2023-10-23,210.000000,216.979996,202.509995,212.080002,212.080002,150683368
2023-10-24,216.500000,222.050003,214.110001,216.520004,216.520004,118231113
2023-10-25,215.880005,220.100006,212.199997,212.419998,212.419998,107065087
2023-10-26,211.320007,214.800003,204.880005,205.759995,205.759995,115112635
2023-10-27,210.600006,212.410004,205.770004,207.300003,207.300003,94881173
2023-10-30,209.279999,210.880005,194.669998,197.360001,197.360001,136448167
2023-10-31,196.119995,202.800003,194.070007,200.839996,200.839996,118068273
2023-11-01,204.039993,205.990005,197.850006,205.660004,205.660004,121661656
2023-11-02,212.970001,219.199997,211.449997,218.509995,218.509995,125987621
2023-11-03,221.149994,226.370102,218.399994,219.960007,219.960007,119534790
2023-11-06,223.979996,226.320007,215.000000,219.270004,219.270004,117335820
2023-11-07,219.979996,223.119995,215.720001,222.179993,222.179993,116900130
2023-11-08,223.149994,224.149994,217.639999,222.110001,222.110001,106584841
2023-11-09,219.750000,220.800003,206.679993,209.979996,209.979996,142110454
2023-11-10,210.029999,215.380005,205.690002,214.649994,214.649994,131310128
2023-11-13,215.600006,225.399994,211.610107,223.710007,223.710007,140447569
2023-11-14,235.029999,238.134995,230.720001,237.410004,237.410004,149771642
2023-11-15,239.289993,246.699997,236.449997,242.839996,242.839996,150353975
2023-11-16,239.490005,240.880005,230.960007,233.589996,233.589996,136816819
2023-11-17,232.000000,237.389999,226.539993,234.300003,234.300003,142766234
2023-11-20,234.039993,237.100006,231.020004,235.600006,235.600006,116562402
2023-11-21,235.039993,243.619995,233.339996,241.199997,241.199997,122288000
2023-11-22,242.039993,244.009995,231.399994,234.210007,234.210007,118117078
2023-11-24,233.750000,238.750000,232.330002,235.449997,235.449997,65125203
2023-11-27,236.889999,238.330002,232.100006,236.080002,236.080002,112031763
2023-11-28,236.679993,247.000000,234.009995,246.720001,246.720001,148549913
2023-11-29,249.210007,252.750000,242.759995,244.139999,244.139999,135401335
2023-11-30,245.139999,245.220001,236.910004,240.080002,240.080002,132353196
2023-12-01,233.139999,240.190002,231.899994,238.830002,238.830002,121331709
2023-12-04,235.750000,239.373306,233.290207,235.580002,235.580002,104099817
2023-12-05,233.869995,246.660004,233.699997,238.720001,238.720001,137971115
2023-12-06,242.919998,246.570007,239.170898,239.369995,239.369995,126436179
2023-12-07,241.550003,244.080002,236.979996,242.639999,242.639999,107142262
2023-12-08,240.270004,245.270004,239.270096,243.839996,243.839996,103126829
2023-12-11,242.740005,243.440994,237.449997,239.740005,239.740005,97913888
2023-12-12,238.550003,238.990005,233.869995,237.009995,237.009995,95328313
2023-12-13,234.190002,240.300003,228.199997,239.289993,239.289993,146286348
2023-12-14,241.220001,253.880005,240.789993,251.050003,251.050003,160829239
2023-12-15,251.210007,254.130005,248.300003,253.500000,253.500000,135932762
2023-12-18,253.779999,258.739990,251.360001,252.080002,252.080002,116416490
2023-12-19,253.479996,258.339905,253.009995,257.220001,257.220001,106737369
2023-12-20,256.410004,259.839996,247.000000,247.139999,247.139999,125096987
2023-12-21,251.899994,254.799896,248.550003,254.500000,254.500000,109594227
2023-12-22,256.760010,258.220001,251.369995,252.539993,252.539993,93370094
2023-12-26,254.490005,257.970001,252.910004,256.609985,256.609985,86892382
2023-12-27,258.350006,263.339996,257.519989,261.440002,261.440002,106494359
2023-12-28,263.660004,265.130005,252.710007,253.179993,253.179993,113619943
2023-12-29,255.100006,255.190002,247.429993,248.479996,248.479996,100891578
2024-01-02,250.080002,251.250000,244.410004,248.419998,248.419998,104654163
2024-01-03,244.979996,245.679993,236.320007,238.449997,238.449997,121082599
2024-01-04,239.250000,242.699997,237.729996,237.929993,237.929993,102629283
2024-01-05,236.860001,240.119598,234.900101,237.490005,237.490005,92488939
2024-01-08,236.139999,241.250000,235.300003,240.449997,240.449997,85166580
2024-01-09,238.110001,238.964600,232.039993,234.960007,234.960007,96705664
2024-01-10,235.100006,235.500000,231.289993,233.940002,233.940002,91628502
2024-01-11,230.570007,230.929993,225.369995,227.220001,227.220001,105873612
2024-01-12,220.080002,225.339996,217.150101,218.889999,218.889999,123043812
2024-01-16,215.100006,223.490005,212.179993,219.910004,219.910004,115355046
2024-01-17,214.860001,215.669998,212.009995,215.550003,215.550003,103164400
2024-01-18,216.880005,217.449997,208.740005,211.880005,211.880005,108595431
2024-01-19,209.990005,213.190002,207.559998,212.190002,212.190002,102260343
2024-01-22,212.259995,217.800003,206.270004,208.800003,208.800003,117952527
2024-01-23,211.300003,215.649994,207.751602,209.139999,209.139999,106605946
2024-01-24,211.880005,212.729996,206.770004,207.830002,207.830002,123369932
2024-01-25,189.699997,193.000000,180.059998,182.630005,182.630005,198076787
2024-01-26,185.500000,186.779999,182.100006,183.250000,183.250000,107343231
2024-01-29,185.630005,191.479996,183.669998,190.929993,190.929993,125013148
2024-01-30,195.330002,196.359299,190.610001,191.589996,191.589996,109982327
2024-01-31,186.994995,193.970001,185.845901,187.289993,187.289993,103221430
2024-02-01,188.500000,189.880005,184.279999,188.860001,188.860001,91843275
2024-02-02,185.039993,188.690002,182.000000,187.910004,187.910004,110612672
2024-02-05,184.259995,184.679993,175.009995,181.059998,181.059998,134294447
2024-02-06,177.210007,186.490005,177.110001,185.100006,185.100006,122675954
2024-02-07,188.179993,189.789993,182.679993,187.580002,187.580002,111535217
2024-02-08,189.000000,191.617096,185.580002,189.559998,189.559998,83034043
2024-02-09,190.179993,194.119995,189.479996,193.570007,193.570007,84476347
2024-02-12,192.110001,194.729996,187.279999,188.130005,188.130005,95498597
2024-02-13,183.990005,187.259995,182.108704,184.020004,184.020004,86759478
2024-02-14,185.300003,188.889999,183.350006,188.710007,188.710007,81202987
2024-02-15,189.160004,200.880005,188.859497,200.449997,200.449997,120831762
2024-02-16,202.059998,203.169998,197.399994,199.949997,199.949997,111346705
2024-02-20,196.130005,198.600006,189.130005,193.759995,193.759995,104545762
2024-02-21,193.360001,199.440002,191.949997,194.770004,194.770004,103844008
2024-02-22,194.000000,198.320007,191.360001,197.410004,197.410004,92739461
2024-02-23,195.309998,197.570007,191.500000,191.970001,191.970001,78841917
2024-02-26,192.289993,201.779999,192.000000,199.399994,199.399994,111747116
2024-02-27,204.039993,205.600006,198.259995,199.729996,199.729996,108645412
2024-02-28,200.419998,205.300003,198.440002,202.039993,202.039993,99806173
2024-02-29,204.179993,205.279999,198.446304,201.880005,201.880005,85906974
2024-03-01,200.520004,204.520004,198.500000,202.639999,202.639999,82243119
2024-03-04,198.729996,199.750000,186.720001,188.139999,188.139999,134334869
2024-03-05,183.050003,184.589996,177.570007,180.740005,180.740005,119660758
2024-03-06,179.990005,181.576004,173.699997,176.539993,176.539993,107920944
2024-03-07,174.350006,180.039993,173.699997,178.649994,178.649994,102129004
2024-03-08,181.500000,182.729996,174.699997,175.339996,175.339996,85544644
2024-03-11,175.445007,182.869995,174.800003,177.770004,177.770004,85391528
2024-03-12,177.770004,179.429993,172.410095,177.539993,177.539993,87391684
2024-03-13,173.050003,176.050003,169.149994,169.479996,169.479996,106524518
2024-03-14,167.770004,171.169998,160.509995,162.500000,162.500000,126325696
2024-03-15,163.160004,165.184494,160.759995,163.570007,163.570007,97146832
