Date,Open,High,Low,Close,Adj Close,Volume
2023-09-14,92.779999,92.930000,91.264999,91.470001,90.391525,6506310
2023-09-15,90.510002,91.139999,88.860001,89.250000,88.197693,19940492
2023-09-18,88.540001,89.665001,88.430000,88.830002,87.782654,6647388
2023-09-19,88.449997,88.839996,87.790001,88.169998,87.130424,7175404
2023-09-20,88.519997,89.315002,87.290001,87.290001,86.260803,6939697
2023-09-21,86.040001,86.139999,85.349998,85.360001,84.353569,10660422
2023-09-22,86.250000,86.774101,85.449997,85.639999,84.630264,7970526
2023-09-25,85.389999,86.239998,85.019997,86.239998,85.223190,8758022
2023-09-26,84.949997,85.230003,84.014999,84.290001,83.296188,8877634
2023-09-27,85.169998,85.555000,84.099998,85.440002,84.432625,7858373
2023-09-28,85.250000,87.129997,84.974998,86.410004,85.391182,6647723
2023-09-29,87.750000,88.029999,86.695000,86.900002,85.875412,7338288
2023-10-02,87.180000,88.419998,87.019997,87.650002,86.616570,6305021
2023-10-03,87.000000,87.320000,85.059998,85.410004,84.402977,8201668
2023-10-04,85.470001,86.760002,85.379997,86.669998,85.648117,7658502
2023-10-05,86.830002,87.937401,86.529999,87.029999,86.003876,6651679
2023-10-06,88.089996,90.019997,87.379997,89.290001,88.237236,9777118
2023-10-09,88.800003,89.339996,88.040001,88.989998,87.940765,4781316
2023-10-10,89.269997,90.660004,89.139999,90.610001,89.541672,7182943
2023-10-11,91.260002,92.010002,90.629997,92.000000,90.915276,8051727
2023-10-12,92.510002,93.440002,91.839996,92.419998,91.330322,8897784
2023-10-13,92.750000,92.940002,90.199997,90.459999,89.393433,7986463
2023-10-16,90.480003,91.900002,90.430000,91.220001,90.144470,8791813
2023-10-17,89.809998,91.699997,88.519997,91.000000,89.927071,7997066
2023-10-18,88.879997,90.010002,88.580002,89.599998,88.543571,9982673
2023-10-19,93.089996,94.760002,92.360001,92.910004,91.814552,22751595
2023-10-20,92.000000,94.320000,91.089996,91.309998,90.233414,12197289
2023-10-23,89.980003,92.260002,89.164101,91.110001,90.035767,8227866
2023-10-24,91.199997,92.000000,90.860001,91.639999,90.559525,7374762
2023-10-25,90.800003,90.849998,86.680000,87.639999,86.606682,13027070
2023-10-26,87.120003,88.139999,86.540001,87.449997,86.418922,9377296
2023-10-27,87.540001,87.779999,85.889999,85.989998,84.976135,12480729
